feature,importance
text_emb_20,43.758909694154354
image_emb_28,25.567463175449298
image_emb_33,18.162962764616505
image_emb_26,17.81236094718855
image_emb_30,15.862076259578936
image_emb_25,15.28186370132222
image_emb_36,12.57095142157613
text_emb_38,12.15521473175077
text_emb_36,11.880780777258007
text_emb_11,11.386314044558247
image_emb_31,11.371013910023999
image_emb_19,10.872270028819734
image_emb_10,10.485773228914436
image_emb_27,10.136347449180453
image_emb_20,8.416726708594865
image_emb_21,8.064177880283411
text_emb_19,7.0164249841688955
text_emb_0,6.158332743087652
text_emb_26,5.762255768803598
image_emb_1,5.203186895535683
image_emb_2,5.172169798186697
ipq,5.0425486002964
image_emb_11,4.887087021780465
text_emb_17,4.25304789678487
text_emb_12,3.9605910626255563
image_emb_32,3.5957135906822284
image_emb_14,3.063908638601605
image_emb_3,2.6738979429717586
image_emb_6,2.4953211733949385
text_emb_2,2.3804776215365617
text_emb_16,2.254042246759495
text_emb_13,1.9652072208633413
image_emb_9,1.8786291684984413
image_emb_34,1.7391411568362594
text_emb_31,1.7359699586433608
image_emb_24,1.72655405338299
image_emb_35,1.6830791628560196
text_emb_1,1.1995587337338403
text_emb_8,1.1193839032604729
text_emb_4,1.037647008640274
text_emb_6,0.8367791970254158
text_emb_7,0.6685914722370917
text_emb_18,0.6045495001616998
image_emb_15,0.41879358392819405
text_emb_34,0.25567413652117227
text_emb_3,0.023934514742656104
category_beauty,0.012222061348623768
text_emb_23,0.011850854096695637
image_emb_5,0.008072921818452894
text_emb_22,0.00567771229369654
brand_count,0.005203170314450898
has_currency,0.005023499367798612
text_emb_29,0.004476981856348456
text_emb_30,0.004259315431449715
image_emb_16,0.004170165688490052
image_emb_29,0.003911033719408949
text_emb_33,0.003358187914974045
image_emb_0,0.003009486176736137
text_emb_39,0.0029251592151142806
text_emb_14,0.0027768518229543096
image_emb_17,0.002237544942862555
image_emb_22,0.0020991366112854495
text_emb_10,0.0018336482312230067
image_emb_12,0.0017367660392007618
category_automotive,0.0012847967080868155
text_emb_21,0.0012380842149591548
text_emb_24,0.0011866098628196353
category_home,0.0007193973080187678
text_emb_25,0.0006829696805434797
has_premium_brand,0.00027803709863997685
text_emb_37,0.0002264737879162807
text_emb_28,0.00016958151742389502
text_emb_27,8.592882917475243e-05
text_emb_73,0.0
text_emb_74,0.0
text_emb_75,0.0
text_emb_76,0.0
text_emb_77,0.0
text_emb_78,0.0
text_emb_79,0.0
text_emb_80,0.0
text_emb_81,0.0
text_emb_82,0.0
text_emb_83,0.0
text_emb_84,0.0
text_emb_85,0.0
text_emb_86,0.0
text_emb_87,0.0
text_emb_88,0.0
text_emb_89,0.0
text_emb_90,0.0
text_emb_91,0.0
text_emb_92,0.0
text_emb_93,0.0
text_emb_94,0.0
text_emb_95,0.0
text_emb_96,0.0
text_emb_97,0.0
text_emb_98,0.0
text_emb_99,0.0
text_emb_100,0.0
text_emb_101,0.0
text_emb_102,0.0
text_emb_103,0.0
text_emb_104,0.0
text_emb_105,0.0
text_emb_106,0.0
text_emb_107,0.0
text_emb_108,0.0
text_emb_109,0.0
text_emb_110,0.0
text_emb_111,0.0
text_emb_112,0.0
text_emb_113,0.0
text_emb_114,0.0
text_emb_115,0.0
text_emb_116,0.0
text_emb_117,0.0
text_emb_118,0.0
text_emb_119,0.0
text_emb_120,0.0
text_emb_121,0.0
text_emb_122,0.0
text_emb_123,0.0
text_emb_124,0.0
text_emb_125,0.0
text_emb_126,0.0
text_emb_127,0.0
text_emb_128,0.0
text_emb_129,0.0
text_emb_130,0.0
text_emb_131,0.0
text_emb_132,0.0
text_emb_133,0.0
text_emb_134,0.0
text_emb_135,0.0
text_emb_136,0.0
text_emb_137,0.0
text_emb_138,0.0
text_emb_139,0.0
text_emb_140,0.0
text_emb_141,0.0
text_emb_142,0.0
text_emb_143,0.0
text_emb_144,0.0
text_emb_145,0.0
text_emb_146,0.0
text_emb_147,0.0
text_emb_148,0.0
text_emb_149,0.0
text_emb_150,0.0
text_emb_151,0.0
text_emb_152,0.0
text_emb_153,0.0
text_emb_154,0.0
text_emb_155,0.0
text_emb_156,0.0
text_emb_157,0.0
text_emb_158,0.0
text_emb_159,0.0
text_emb_160,0.0
text_emb_161,0.0
text_emb_162,0.0
text_emb_163,0.0
text_emb_164,0.0
text_emb_165,0.0
text_emb_166,0.0
text_emb_167,0.0
text_emb_168,0.0
text_emb_169,0.0
text_emb_170,0.0
text_emb_171,0.0
text_emb_172,0.0
text_emb_173,0.0
text_emb_174,0.0
text_emb_175,0.0
text_emb_176,0.0
text_emb_177,0.0
text_emb_178,0.0
text_emb_179,0.0
text_emb_180,0.0
text_emb_181,0.0
text_emb_182,0.0
text_emb_183,0.0
text_emb_184,0.0
text_emb_185,0.0
text_emb_186,0.0
text_emb_187,0.0
text_emb_188,0.0
text_emb_189,0.0
text_emb_190,0.0
text_emb_191,0.0
text_emb_192,0.0
text_emb_193,0.0
text_emb_194,0.0
text_emb_195,0.0
text_emb_196,0.0
text_emb_197,0.0
text_emb_198,0.0
text_emb_199,0.0
text_emb_5,0.0
text_emb_9,0.0
image_emb_86,0.0
has_ipq,0.0
image_emb_4,0.0
image_emb_87,0.0
image_emb_88,0.0
image_emb_7,0.0
image_emb_8,0.0
image_emb_89,0.0
image_emb_90,0.0
image_emb_91,0.0
image_emb_92,0.0
image_emb_13,0.0
image_emb_93,0.0
image_emb_94,0.0
image_emb_95,0.0
image_emb_96,0.0
image_emb_18,0.0
image_emb_97,0.0
image_emb_98,0.0
image_emb_99,0.0
category_jewelry,0.0
image_emb_23,0.0
text_emb_32,0.0
text_emb_35,0.0
text_emb_40,0.0
text_emb_41,0.0
text_emb_42,0.0
text_emb_43,0.0
text_emb_44,0.0
text_emb_45,0.0
text_emb_46,0.0
text_emb_47,0.0
text_emb_48,0.0
text_emb_49,0.0
text_emb_50,0.0
image_emb_37,0.0
image_emb_38,0.0
text_emb_51,0.0
image_emb_40,0.0
image_emb_41,0.0
image_emb_42,0.0
image_emb_43,0.0
image_emb_44,0.0
image_emb_45,0.0
image_emb_46,0.0
image_emb_47,0.0
image_emb_48,0.0
image_emb_49,0.0
image_emb_50,0.0
image_emb_51,0.0
image_emb_52,0.0
image_emb_53,0.0
image_emb_54,0.0
image_emb_55,0.0
image_emb_56,0.0
image_emb_57,0.0
image_emb_58,0.0
image_emb_59,0.0
image_emb_60,0.0
image_emb_61,0.0
image_emb_62,0.0
image_emb_63,0.0
image_emb_64,0.0
image_emb_65,0.0
image_emb_66,0.0
image_emb_67,0.0
image_emb_68,0.0
image_emb_69,0.0
image_emb_70,0.0
image_emb_71,0.0
image_emb_72,0.0
image_emb_73,0.0
image_emb_74,0.0
image_emb_75,0.0
image_emb_76,0.0
image_emb_77,0.0
image_emb_39,0.0
image_emb_79,0.0
image_emb_80,0.0
image_emb_81,0.0
image_emb_82,0.0
image_emb_83,0.0
image_emb_84,0.0
image_emb_85,0.0
text_emb_52,0.0
text_emb_53,0.0
text_length,0.0
word_count,0.0
char_count,0.0
has_numbers,0.0
text_emb_54,0.0
has_dimensions,0.0
category_electronics,0.0
category_clothing,0.0
text_emb_55,0.0
category_kitchen,0.0
text_emb_56,0.0
category_sports,0.0
text_emb_57,0.0
text_emb_58,0.0
text_emb_59,0.0
text_emb_15,0.0
text_emb_60,0.0
text_emb_61,0.0
text_emb_62,0.0
text_emb_63,0.0
text_emb_64,0.0
text_emb_65,0.0
text_emb_66,0.0
text_emb_67,0.0
text_emb_68,0.0
text_emb_69,0.0
text_emb_70,0.0
text_emb_71,0.0
text_emb_72,0.0
image_emb_78,0.0
